Title,Author,Character,Gender,Location,Longitude,Latitude
Puck,Ouida,Laura Pearl,Female,Ascot,-0.675758,51.407888
Puck,Ouida,Laura Pearl,Female,Bucks,-0.811092,51.865959
Puck,Ouida,Laura Pearl,Female,Paris,2.352222,48.856613
Puck,Ouida,Laura Pearl,Female,Bois,2.248983,48.862378
Puck,Ouida,Laura Pearl,Female,Hyde park,-0.165772,51.507241
Puck,Ouida,Laura Pearl,Female,Belgrave square,-0.153563,51.499257
Puck,Ouida,Laura Pearl,Female,Coronet theater,-0.19816,51.508648
Puck,Ouida,Laura Pearl,Female,South Kensington ,-0.178883,51.496107
Puck,Ouida,Laura Pearl,Female,Coronet theater,-0.19816,51.508648
Puck,Ouida,Laura Pearl,Female,London,-0.127758,51.507351
Puck,Ouida,Fr_d_gonde,Female,Paris,2.352222,48.856613
Puck,Ouida,Vere Beltran,Male,Paris,2.352222,48.856613
Puck,Ouida,Vere Beltran,Male,The Coronet theater,-0.19816,51.508648
Puck,Ouida,Vere Beltran,Male,Cocod_s,-1.518636,52.500117
Puck,Ouida,Vere Beltran,Male,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida,Vere Beltran,Male,Christies,-1.518636,52.500117
Puck,Ouida,Vere Beltran,Male,Philips,-1.518636,52.500117
Puck,Ouida,Vere Beltran,Male,Villa by Thames,-0.902534,51.53721
Puck,Ouida,Vere Beltran,Male,Rotten Row,-0.165731,51.507282
Puck,Ouida,Vere Beltran,Male,Paul mall,-2.6345,53.64691
Puck,Ouida,Vere Beltran,Male,Saint James st,-1.47094,53.38278
Puck,Ouida,Vere Beltran,Male,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida,Vere Beltran,Male,St James street,-1.47094,53.38278
Puck,Ouida,Vere Beltran,Male,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida,Vere Beltran,Male,Greenwich,0.00953,51.49498
Puck,Ouida,Vere Beltran,Male,London,-0.127758,51.507351
Puck,Ouida,Vere Beltran,Male,Coronet theater,-0.19816,51.508648
Puck,Ouida,Vere Beltran,Male,Ascot,-0.675758,51.407888
